number,value,datetime_start,datetime_complete,duration,params_A,params_C,params_f,params_lr,params_min_gradient_magnitude,params_optimal_weight,params_phase_shift_loss_weight,params_phi,params_shift_boundary,params_threshold,params_transition_slope,state
29,1.3480674685738612,2023-08-31 12:46:47.882068,2023-08-31 12:48:27.134344,0 days 00:01:39.252276,0.10645023901902158,0.7518068649211933,0.7913801927010486,0.007461844891666068,0.1890043672417513,0.804379423702324,0.4997278132472966,2.417795791310333,0.2959912101464326,0.12000000000000001,0.10738642446912722,PRUNED
30,1.1588849115667614,2023-08-31 12:48:27.157827,2023-08-31 12:51:46.523480,0 days 00:03:19.365653,0.3812670005249994,1.3624910034298474,0.769717165314709,0.008299708446473672,0.18760375925772932,0.8497688178180899,0.41855902136462597,2.493678894557577,0.23458156769456823,0.1,0.10844845674648823,PRUNED
31,0.4991876010507085,2023-08-31 12:51:46.546642,2023-08-31 12:59:22.172259,0 days 00:07:35.625617,0.17996590188379677,1.103532843063199,0.7505887575784417,0.009874224949525286,0.19998069202433763,0.8411027548594219,0.49521112787677735,2.937204948472547,0.2960845698781608,0.1,0.10225536522076789,COMPLETE
32,1.0806961414661813,2023-08-31 12:59:22.200939,2023-08-31 13:03:59.543073,0 days 00:04:37.342134,0.19370282142904285,1.1017316869283187,0.752040265532273,0.009495329802054558,0.19820643048124686,0.8388046879290595,0.47520090885886807,2.667533934127743,0.28735217403465646,0.11,0.11414804483933018,PRUNED
33,1.0389578558029013,2023-08-31 13:03:59.564305,2023-08-31 13:10:34.964795,0 days 00:06:35.400490,0.160585309026293,1.2036801037648563,0.7663434487008498,0.009408728337935336,0.1888938283519789,0.8250726612056379,0.4423389278539812,2.938527151928822,0.29882211283097376,0.1,0.10027700078605072,PRUNED
34,0.48838401998639025,2023-08-31 13:10:34.993284,2023-08-31 13:18:09.470782,0 days 00:07:34.477498,0.2782932506158669,0.970055681195624,0.7932270407866493,0.009983984072767859,0.1992229422638343,0.8412710418273627,0.4700081776478121,2.7056447546559266,0.27506661978837,0.11,0.10694519734818615,COMPLETE
35,1.1417921863971872,2023-08-31 13:18:09.497507,2023-08-31 13:21:27.261816,0 days 00:03:17.764309,0.2949437280077456,0.9533170451015267,0.7940272799378523,0.008761496480798828,0.17489595971202543,0.8211482730737805,0.3785327060875484,2.2771087117903517,0.27016783128226246,0.12000000000000001,0.1085225894679248,PRUNED
36,1.0011911779008014,2023-08-31 13:21:27.271755,2023-08-31 13:29:24.204521,0 days 00:07:56.932766,0.23040869921018045,0.8421963857877351,0.8285370131832496,0.009377696449766191,0.18990741436074032,0.8322423467186699,0.44236152388201383,2.5777701740998635,0.242712335788675,0.11,0.12170400593820493,PRUNED
37,1.3060986598332722,2023-08-31 13:29:24.223518,2023-08-31 13:31:04.315670,0 days 00:01:40.092152,0.29386105856781203,0.7374290413722127,0.8038261961231972,0.008656078224813445,0.13972130883278133,0.8425081754721524,0.4712076034643338,2.715297303598381,0.26108804545406816,0.11,0.11379541851225011,PRUNED
38,0.99930365964876,2023-08-31 13:31:04.333133,2023-08-31 13:38:20.974514,0 days 00:07:16.641381,0.4163788383756405,0.988669843798668,0.8180703028033771,0.009459764008668561,0.18096933218099068,0.8187214643366488,0.41233857152157694,2.065913870424649,0.21527964963421503,0.17,0.1261937649586958,PRUNED
39,1.3440628026394135,2023-08-31 13:38:20.987376,2023-08-31 13:40:00.367386,0 days 00:01:39.380010,0.33603913104527616,0.6551288229077094,0.7903617159808638,0.007874711214345922,0.165207512977052,0.8308221159298264,0.3542400562114474,2.424757698528924,0.277368983383603,0.13,0.13246874040881318,PRUNED
40,1.317785972399069,2023-08-31 13:40:00.390379,2023-08-31 13:41:39.677046,0 days 00:01:39.286667,0.22488912241172615,1.049188365450657,0.8207318216531496,0.007254485793408732,0.1908093513375627,0.8082529422921825,0.30851972599428873,2.2757294036567166,0.24198688292765777,0.14,0.13819339179235793,PRUNED
41,1.01379842052223,2023-08-31 13:41:39.695352,2023-08-31 13:48:06.130698,0 days 00:06:26.435346,0.15300264179564543,1.1008749452101785,0.7644376511178081,0.009954255412520012,0.1996038203099187,0.8419240121691358,0.4753396401060198,2.932527535303003,0.2867821769767524,0.1,0.10606569343488653,PRUNED
42,1.1551586017541007,2023-08-31 13:48:06.151310,2023-08-31 13:51:24.113256,0 days 00:03:17.961946,0.2034075000787431,0.971434716699025,0.7770709791588118,0.00881764997823349,0.19859399724298996,0.8435311803567782,0.453117981477933,3.031111274466541,0.28941293610967045,0.1,0.10613246550495098,PRUNED
43,0.4770171558443628,2023-08-31 13:51:24.129333,2023-08-31 13:58:50.627959,0 days 00:07:26.498626,0.2527076318787864,1.077518305670266,0.7607057308012042,0.009979377720975008,0.1838140059574348,0.8377727703233238,0.4832672108188443,2.753520494324311,0.274279500689247,0.11,0.1042312913768267,COMPLETE
44,1.1166467651830498,2023-08-31 13:58:50.653729,2023-08-31 14:03:27.723452,0 days 00:04:37.069723,0.4220049270251725,1.2096717534393668,0.7614476711155598,0.009418301436409631,0.1827072867361802,0.84921624079751,0.4364726890112026,2.805007679599484,0.26428794953217105,0.2,0.1113711064191394,PRUNED
45,1.1393316462107583,2023-08-31 14:03:27.744413,2023-08-31 14:06:47.261034,0 days 00:03:19.516621,0.27209534618955034,0.9284540307735432,0.8393235698663236,0.009592908938674644,0.17761031387935639,0.833645023448395,0.47622568869950466,2.5593496983490764,0.2746791407787587,0.11,0.10448693598477729,PRUNED
46,1.1559275113944467,2023-08-31 14:06:47.275263,2023-08-31 14:10:05.520992,0 days 00:03:18.245729,0.49942408311128295,1.0476745855351275,0.7823829991741509,0.008079498307482239,0.1925404478087631,0.8255735580855047,0.3835333210781676,3.128785994687316,0.26115205070760866,0.12000000000000001,0.11660304048941353,PRUNED
47,1.1176149549213708,2023-08-31 14:10:05.541774,2023-08-31 14:14:13.956979,0 days 00:04:08.415205,0.23537521948221574,1.9913632350242823,0.7993296173200516,0.008946485705589098,0.17016166443705635,0.796316570771152,0.414338678644494,2.7009621680052507,0.27812142938377493,0.19,0.10473957574027312,PRUNED
48,1.3071704088373388,2023-08-31 14:14:13.975739,2023-08-31 14:15:53.589423,0 days 00:01:39.613684,0.14074020871481147,1.1717752895312235,0.7760129418593613,0.008377360074356846,0.18606646801411297,0.8433738151470062,0.455078287918236,2.4465787527594403,0.29007805504265904,0.11,0.11098721465144293,PRUNED
49,1.0297981458352812,2023-08-31 14:15:53.604454,2023-08-31 14:22:09.654998,0 days 00:06:16.050544,0.3210355445651969,0.8762763255688739,0.7595838666239508,0.009978530853605479,0.15947882882736508,0.8169860858390785,0.4916440710335881,3.0084120148779343,0.267654651377983,0.15000000000000002,0.11807048638039766,PRUNED
50,1.1450651624101273,2023-08-31 14:22:09.673441,2023-08-31 14:25:27.798545,0 days 00:03:18.125104,0.28408289317693486,0.960742902567488,0.78620704253622,0.009470856154434628,0.1935996487055611,0.8365981446089481,0.3938446809307569,2.8340143885280162,0.2511507544807981,0.12000000000000001,0.10069345640520683,PRUNED
51,1.094471735100374,2023-08-31 14:25:27.813272,2023-08-31 14:29:26.709468,0 days 00:03:58.896196,0.19195116053673436,1.1318178158676717,0.7539221612338054,0.009696228927518388,0.1944359703732764,0.8435397478893789,0.4996271263302073,2.9980209249846737,0.29942963360779645,0.1,0.10377633846617253,PRUNED
52,1.0478922855769488,2023-08-31 14:29:26.725856,2023-08-31 14:35:04.442893,0 days 00:05:37.717037,0.13693799244833096,1.0810798894326008,0.7519462666919983,0.009986442355784822,0.17676715992516906,0.8394836731594605,0.47882051218024624,2.8584543249170307,0.2932852753306819,0.1,0.1001920499693962,PRUNED
